symbol,timeframe,strategy_id,strategy_name,status,trades,wins,losses,win_rate_pct,net_profit,total_return_pct,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,bars,error
USDJPY,1h,cci_extreme_reversal,CCI Extreme Reversal,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,mfi_volume_reversal,MFI Volume Reversal,OK,16,5,11,31.25,-110.06,-1.1,0.8651437023593256,-6.88,3.21,-0.337,-0.289,288,
USDJPY,1h,chandelier_trend_exit,Chandelier Trend Exit,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,liquidity_sweep_reversal,Liquidity Sweep Reversal,OK,9,4,5,44.44,497.15,4.97,1.951338427171876,55.24,2.77,1.172,1.014,288,
USDJPY,1h,vortex_trend_cross,Vortex Trend Cross,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,hurst_trend_persistence,Hurst Trend Persistence,OK,11,5,6,45.45,664.64,6.65,2.065260878334161,60.42,4.21,1.648,2.635,288,
USDJPY,1h,rsi_regular_divergence_v2,RSI Regular Divergence (Confirmed),OK,83,66,17,79.52,3594.15,35.94,6.464628754278696,43.3,2.09,6.0,6.99,288,
USDJPY,1h,obv_price_divergence,OBV/Price Divergence,OK,52,26,26,50.0,454.75,4.55,1.3150111280268628,8.75,3.18,1.073,1.208,288,
USDJPY,1h,hidden_macd_divergence_v2,Hidden MACD Divergence (Trend Continuation),OK,14,13,1,92.86,3308.94,33.09,64.72884522015376,236.35,0.73,7.888,13.197,288,
USDJPY,1h,kst_trend_cross,KST Trend Cross,OK,14,7,7,50.0,939.29,9.39,2.4741445844424486,67.09,3.43,2.293,3.164,288,
USDJPY,1h,coppock_curve_bottom,Coppock Curve Bottom,OK,7,5,2,71.43,1319.25,13.19,7.082717385703077,188.46,2.89,3.375,6.315,288,
USDJPY,1h,stc_cycle_turn,Schaff Trend Cycle Turn,OK,26,9,17,34.62,119.89,1.2,1.096728708906134,4.61,3.71,0.336,0.436,288,
USDJPY,1h,tsi_momentum_shift,TSI Momentum Shift,OK,17,13,4,76.47,2773.21,27.73,12.131452649267034,163.13,1.87,5.221,7.452,288,
